"sourceKind","sourceId","sourceName","relation","targetKind","targetId","targetName"
"tag","251","GA4 Event - product page - hot seller products click","references_trigger","trigger","244","Click - GA4 Event - product page - hot seller products click"
"tag","253","GA4 Event - navigation - mobile main nav click","references_variable","variable","215","GA4 ID"
"tag","253","GA4 Event - navigation - mobile main nav click","references_trigger","trigger","252","Click - GA4 Event - navigation - mobile main nav click"
"tag","255","GA4 Event - collection page - colletion filter click","references_variable","variable","215","GA4 ID"
"tag","255","GA4 Event - collection page - colletion filter click","references_trigger","trigger","254","Click - GA4 Event - collection page - colletion filter click"
"tag","256","GA4 Event - home page - hero image button click","references_variable","variable","215","GA4 ID"
"tag","256","GA4 Event - home page - hero image button click","references_trigger","trigger","249","Click - GA4 Event - home page - hero image button click"
"tag","259","GA4 Event - cart drawer - checkout click","references_variable","variable","215","GA4 ID"
"tag","259","GA4 Event - cart drawer - checkout click","references_trigger","trigger","242","Click - GA4 Event - cart drawer - checkout click"
"tag","260","GA4 Event - product page - product variants click","references_variable","variable","215","GA4 ID"
"tag","260","GA4 Event - product page - product variants click","references_trigger","trigger","258","Click - GA4 Event - product page - product variants click"
"tag","261","GA4 Event - home page - featured category click","references_variable","variable","215","GA4 ID"
"tag","261","GA4 Event - home page - featured category click","references_trigger","trigger","224","Click - GA4 Event - home page - featured category click"
"tag","262","GA4 Event - global feature - quickshop variant option click","references_variable","variable","215","GA4 ID"
"tag","262","GA4 Event - global feature - quickshop variant option click","references_trigger","trigger","257","Click - GA4 Event - global feature - quickshop variant option click"
"tag","263","GA4 Event - navigation - announcement header click","references_variable","variable","215","GA4 ID"
"tag","263","GA4 Event - navigation - announcement header click","references_trigger","trigger","225","Click - GA4 Event - navigation - announcement header click"
"tag","264","GA4 Event - home page - instagram feed interaction click","references_variable","variable","215","GA4 ID"
"tag","264","GA4 Event - home page - instagram feed interaction click","references_trigger","trigger","234","Click - GA4 Event - home page - instagram feed interaction click"
"tag","265","GA4 Event - home page - shop outfit section click","references_variable","variable","215","GA4 ID"
"tag","265","GA4 Event - home page - shop outfit section click","references_trigger","trigger","240","Click - GA4 Event - home page - shop outfit section click"
"tag","269","GA4 - Search","references_variable","variable","56","url - Search - Search Term"
"tag","269","GA4 - Search","references_variable","variable","215","GA4 ID"
"tag","269","GA4 - Search","references_trigger","trigger","55","Event - view_search_results"
"tag","274","GA4 - Add Payment Info","references_variable","variable","28","dlv - Global - Currency Code"
"tag","274","GA4 - Add Payment Info","references_variable","variable","48","dlv - Cart Total"
"tag","274","GA4 - Add Payment Info","references_variable","variable","215","GA4 ID"
"tag","274","GA4 - Add Payment Info","references_variable","variable","273","js - GA4 - begin checkout"
"tag","274","GA4 - Add Payment Info","references_trigger","trigger","162","Event - add_payment_info"
"tag","278","GA4 - Click Item From Collection Page","references_variable","variable","215","GA4 ID"
"tag","278","GA4 - Click Item From Collection Page","references_variable","variable","277","js - GA4 - select item"
"tag","278","GA4 - Click Item From Collection Page","references_trigger","trigger","275","Event - select_item"
"tag","280","GA4 - Login","references_variable","variable","213","dlv - User ID"
"tag","280","GA4 - Login","references_variable","variable","215","GA4 ID"
"tag","280","GA4 - Login","references_trigger","trigger","279","Event - login"
"tag","286","GA4 Base Tag Configuration","references_variable","variable","215","GA4 ID"
"tag","286","GA4 Base Tag Configuration","references_variable","variable","268","GA4 Config Settings"
"tag","286","GA4 Base Tag Configuration","references_variable","variable","285","GA4 Event Settings"
"tag","286","GA4 Base Tag Configuration","references_trigger","trigger","120","Event - user_data"
"tag","288","GA4 - SMS Subscribe","references_variable","variable","215","GA4 ID"
"tag","288","GA4 - SMS Subscribe","references_trigger","trigger","113","Event - subscribe - phone"
"tag","290","GA4 - Begin Checkout","references_variable","variable","28","dlv - Global - Currency Code"
"tag","290","GA4 - Begin Checkout","references_variable","variable","48","dlv - Cart Total"
"tag","290","GA4 - Begin Checkout","references_variable","variable","215","GA4 ID"
"tag","290","GA4 - Begin Checkout","references_variable","variable","273","js - GA4 - begin checkout"
"tag","290","GA4 - Begin Checkout","references_trigger","trigger","169","Event - begin_checkout"
"tag","292","GA4 - View Cart","references_variable","variable","28","dlv - Global - Currency Code"
"tag","292","GA4 - View Cart","references_variable","variable","48","dlv - Cart Total"
"tag","292","GA4 - View Cart","references_variable","variable","215","GA4 ID"
"tag","292","GA4 - View Cart","references_variable","variable","291","js - GA4 - view cart"
"tag","292","GA4 - View Cart","references_trigger","trigger","45","Event - view_cart"
"tag","293","GA4 - Collection View","references_variable","variable","215","GA4 ID"
"tag","293","GA4 - Collection View","references_variable","variable","289","js - GA4 - view item list"
"tag","293","GA4 - Collection View","references_trigger","trigger","35","Event - view_item_list"
"tag","293","GA4 - Collection View","references_trigger","trigger","55","Event - view_search_results"
"tag","295","GA4 - Remove From Cart","references_variable","variable","28","dlv - Global - Currency Code"
"tag","295","GA4 - Remove From Cart","references_variable","variable","215","GA4 ID"
"tag","295","GA4 - Remove From Cart","references_variable","variable","272","js - GA4 - remove from cart"
"tag","295","GA4 - Remove From Cart","references_variable","variable","284","js - Remove From Cart Value"
"tag","295","GA4 - Remove From Cart","references_trigger","trigger","294","Event - remove_from_cart"
"tag","297","GA4 - Add Shipping Info","references_variable","variable","28","dlv - Global - Currency Code"
"tag","297","GA4 - Add Shipping Info","references_variable","variable","48","dlv - Cart Total"
"tag","297","GA4 - Add Shipping Info","references_variable","variable","215","GA4 ID"
"tag","297","GA4 - Add Shipping Info","references_variable","variable","273","js - GA4 - begin checkout"
"tag","297","GA4 - Add Shipping Info","references_trigger","trigger","296","Event - add_shipping_info"
"tag","298","GA4 - Email Subscribe","references_variable","variable","215","GA4 ID"
"tag","298","GA4 - Email Subscribe","references_trigger","trigger","90","Event - subscribe - email"
"tag","299","GA4 - Item View","references_variable","variable","28","dlv - Global - Currency Code"
"tag","299","GA4 - Item View","references_variable","variable","70","dlv - Product View - Price"
"tag","299","GA4 - Item View","references_variable","variable","215","GA4 ID"
"tag","299","GA4 - Item View","references_variable","variable","281","js - GA4 - view item"
"tag","299","GA4 - Item View","references_trigger","trigger","64","Event - view_item"
"tag","302","GA4 - Purchase","references_variable","variable","22","dlv - Thank You Page - Order Revenue"
"tag","302","GA4 - Purchase","references_variable","variable","28","dlv - Global - Currency Code"
"tag","302","GA4 - Purchase","references_variable","variable","92","dlv - Thank You Page - Coupon Code Name"
"tag","302","GA4 - Purchase","references_variable","variable","109","dlv - Thank You Page - Shipping"
"tag","302","GA4 - Purchase","references_variable","variable","114","dlv - Thank You Page - Tax"
"tag","302","GA4 - Purchase","references_variable","variable","125","dlv - Thank You Page - Customer ID"
"tag","302","GA4 - Purchase","references_variable","variable","215","GA4 ID"
"tag","302","GA4 - Purchase","references_variable","variable","287","GA4 - transaction identifier"
"tag","302","GA4 - Purchase","references_variable","variable","301","js - GA4 - purchase"
"tag","302","GA4 - Purchase","references_trigger","trigger","62","Event - dl_purchase"
"tag","304","GA4 - Sign Up For Account","references_variable","variable","215","GA4 ID"
"tag","304","GA4 - Sign Up For Account","references_trigger","trigger","87","Event - sign_up"
"tag","305","GA4 - Add to Cart","references_variable","variable","28","dlv - Global - Currency Code"
"tag","305","GA4 - Add to Cart","references_variable","variable","215","GA4 ID"
"tag","305","GA4 - Add to Cart","references_variable","variable","300","js - Add To Cart Value"
"tag","305","GA4 - Add to Cart","references_variable","variable","303","js - GA4 - add to cart"
"tag","305","GA4 - Add to Cart","references_trigger","trigger","36","Event - add_to_cart"
"tag","312","Google Ads - Enhanced Conversions - Phone","references_variable","variable","24","Google Ads - Conversion ID - 874796722"
"tag","312","Google Ads - Enhanced Conversions - Phone","references_variable","variable","77","Enhanced Conversion Data"
"tag","312","Google Ads - Enhanced Conversions - Phone","references_trigger","trigger","310","All Events - Phone Defined"
"tag","313","Google Ads - Enhanced Conversions - Email","references_variable","variable","24","Google Ads - Conversion ID - 874796722"
"tag","313","Google Ads - Enhanced Conversions - Email","references_variable","variable","77","Enhanced Conversion Data"
"tag","313","Google Ads - Enhanced Conversions - Email","references_trigger","trigger","311","All Events - Email Defined"
"tag","442","*Update After Import* GA4 Event - Youtube Videos","references_trigger","trigger","441","Youtube Video"
"tag","68","Google Ads Remarketing - View Item List","references_elevar_entity","trigger","35","Event - view_item_list"
"tag","105","Pinterest - View Category","references_elevar_entity","trigger","35","Event - view_item_list"
"tag","148","TikTok - Collection View","references_elevar_entity","trigger","35","Event - view_item_list"
"tag","206","Facebook - View Category","references_elevar_entity","trigger","35","Event - view_item_list"
"tag","293","GA4 - Collection View","references_elevar_entity","trigger","35","Event - view_item_list"
"tag","44","Google Ads Remarketing - Add to Cart","references_elevar_entity","trigger","36","Event - add_to_cart"
"tag","128","Pinterest - Add to Cart","references_elevar_entity","trigger","36","Event - add_to_cart"
"tag","157","TikTok - Add to Cart","references_elevar_entity","trigger","36","Event - add_to_cart"
"tag","203","Facebook - Add to Cart","references_elevar_entity","trigger","36","Event - add_to_cart"
"tag","305","GA4 - Add to Cart","references_elevar_entity","trigger","36","Event - add_to_cart"
"tag","610","StackAdapt - Add to Cart","references_elevar_entity","trigger","36","Event - add_to_cart"
"tag","49","Google Ads Remarketing - Cart Page","references_elevar_entity","trigger","45","Event - view_cart"
"tag","292","GA4 - View Cart","references_elevar_entity","trigger","45","Event - view_cart"
"tag","58","Google Ads Remarketing - Search Results","references_elevar_entity","trigger","55","Event - view_search_results"
"tag","103","Pinterest - Search","references_elevar_entity","trigger","55","Event - view_search_results"
"tag","168","TikTok - Search","references_elevar_entity","trigger","55","Event - view_search_results"
"tag","199","Facebook - Search","references_elevar_entity","trigger","55","Event - view_search_results"
"tag","269","GA4 - Search","references_elevar_entity","trigger","55","Event - view_search_results"
"tag","293","GA4 - Collection View","references_elevar_entity","trigger","55","Event - view_search_results"
"tag","81","Google Ads Remarketing - Pageview","references_elevar_entity","trigger","59","All Pages - Window Loaded"
"tag","98","Elevar Monitoring Core Tag","references_elevar_entity","trigger","59","All Pages - Window Loaded"
"tag","78","Google Ads Conversion - Purchase","references_elevar_entity","trigger","62","Event - dl_purchase"
"tag","80","Google Ads Remarketing - Purchase","references_elevar_entity","trigger","62","Event - dl_purchase"
"tag","107","Pinterest - Transaction","references_elevar_entity","trigger","62","Event - dl_purchase"
"tag","154","TikTok - Purchase (Complete Payment)","references_elevar_entity","trigger","62","Event - dl_purchase"
"tag","161","TikTok - Place An Order","references_elevar_entity","trigger","62","Event - dl_purchase"
"tag","302","GA4 - Purchase","references_elevar_entity","trigger","62","Event - dl_purchase"
"tag","409","BloomReach - Purchase (Conversion Page)","references_elevar_entity","trigger","62","Event - dl_purchase"
"tag","609","StackAdapt - Purchase","references_elevar_entity","trigger","62","Event - dl_purchase"
"tag","71","Google Ads Remarketing - View Item","references_elevar_entity","trigger","64","Event - view_item"
"tag","127","Pinterest - Product Detail View","references_elevar_entity","trigger","64","Event - view_item"
"tag","155","TikTok - Product View","references_elevar_entity","trigger","64","Event - view_item"
"tag","205","Facebook - Product View","references_elevar_entity","trigger","64","Event - view_item"
"tag","299","GA4 - Item View","references_elevar_entity","trigger","64","Event - view_item"
"tag","412","BloomReach - Product Page (Event)","references_elevar_entity","trigger","64","Event - view_item"
"tag","611","StackAdapt - View Item","references_elevar_entity","trigger","64","Event - view_item"
